id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
237,AgentG,G_1,2023-05-01 01:02:52,4.3530496140647505,52.013077609082096,30,0-0-0
238,AgentE,E_1,2023-05-01 01:03:15,4.3458253171449615,51.99296892005271,120,0-0-0
239,AgentD,D_2,2023-05-01 01:04:01,4.356550142366685,51.996416163037686,300,0-0-0
240,AgentM,M_2,2023-05-01 01:04:01,4.3381867139841965,51.997701092782705,300,0-0-0
241,AgentN,N_1,2023-05-01 01:04:01,4.354546234187175,51.98921655191236,120,0-0-0
242,AgentS,S_1,2023-05-01 01:04:01,4.3530496140647505,52.013077609082096,250,0-0-0
243,AgentL,L_1,2023-05-01 01:04:24,4.345045579506649,51.98516872171841,240,0-0-0
244,AgentC,C_2,2023-05-01 01:04:47,4.3530496140647505,52.013077609082096,150,0-0-0
245,AgentA,A_2,2023-05-01 01:05:10,4.355013007950339,52.01068585398698,110,0-0-0
246,AgentH,H_2,2023-05-01 01:05:33,4.356195988642664,52.02068273213007,120,0-0-0
247,AgentS,S_2,2023-05-01 01:05:33,4.3530496140647505,52.013077609082096,250,0-0-0
248,AgentB,B_1,2023-05-01 01:05:56,4.330403173897175,51.991213434504516,80,0-0-0
249,AgentS,S_1,2023-05-01 01:05:56,4.3530496140647505,52.013077609082096,250,0-0-0
250,AgentD,D_1,2023-05-01 01:06:19,4.356550142366685,51.996416163037686,300,0-0-0
251,AgentQ,Q_2,2023-05-01 01:06:19,4.331826600915831,52.00559032961253,130,0-0-0
252,AgentR,R_1,2023-05-01 01:06:42,4.356550142366685,51.996416163037686,300,0-0-0
253,AgentM,M_2,2023-05-01 01:07:05,4.3381867139841965,51.997701092782705,300,0-0-0
254,AgentO,O_2,2023-05-01 01:07:51,4.3497636751020305,52.00588464056726,210,0-0-0
255,AgentI,I_1,2023-05-01 01:08:14,4.356195988642664,52.02068273213007,120,0-0-0
256,AgentP,P_1,2023-05-01 01:08:14,4.356550142366685,51.996416163037686,50,0-0-0
257,AgentS,S_2,2023-05-01 01:09:23,4.3530496140647505,52.013077609082096,250,0-0-0
258,AgentK,K_1,2023-05-01 01:09:46,4.367075846877175,51.98436404193879,250,0-0-0
259,AgentK,K_1,2023-05-01 01:10:09,4.367075846877175,51.98436404193879,250,0-0-0
260,AgentS,S_1,2023-05-01 01:10:09,4.3530496140647505,52.013077609082096,250,0-0-0
261,AgentF,F_1,2023-05-01 01:10:32,4.343948528788537,52.018561346495936,260,0-0-0
262,AgentI,I_1,2023-05-01 01:10:32,4.356195988642664,52.02068273213007,120,0-0-0
263,AgentJ,J_2,2023-05-01 01:10:32,4.366390654673757,51.99464126281873,240,0-0-0
264,AgentQ,Q_2,2023-05-01 01:10:32,4.331826600915831,52.00559032961253,130,0-0-0
265,AgentE,E_1,2023-05-01 01:10:55,4.3458253171449615,51.99296892005271,120,0-0-0
266,AgentB,B_1,2023-05-01 01:11:41,4.330403173897175,51.991213434504516,80,0-0-0
267,AgentE,E_2,2023-05-01 01:12:04,4.3458253171449615,51.99296892005271,120,0-0-0
268,AgentD,D_2,2023-05-01 01:12:27,4.356550142366685,51.996416163037686,300,0-0-0
269,AgentJ,J_1,2023-05-01 01:12:50,4.356550142366685,51.996416163037686,300,0-0-0
270,AgentK,K_1,2023-05-01 01:12:50,4.367075846877175,51.98436404193879,250,0-0-0
271,AgentM,M_2,2023-05-01 01:12:50,4.3381867139841965,51.997701092782705,300,0-0-0
272,AgentI,I_1,2023-05-01 01:13:36,4.356195988642664,52.02068273213007,120,0-0-0
273,AgentA,A_1,2023-05-01 01:13:59,4.355013007950339,52.01068585398698,110,0-0-0
274,AgentK,K_1,2023-05-01 01:13:59,4.367075846877175,51.98436404193879,250,0-0-0
